38, 'I want you', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb08.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-08.mp4
39, 'You must', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb09.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-09.mp4
40, 'You might not have my name', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb10.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-10.mp4
41, 'There was that one...', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb11.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-11.mp4
42, 'They have no ships', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb12.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-12.mp4
43, 'Most choose the knife', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb13.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-13.mp4
44, 'Some wine in the belly', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb14.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-14.mp4
45, 'Close the windows!', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb15.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-15.mp4
46, 'Have you ever seen a dragon?', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb16.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-16.mp4
47, 'I think he was thrown.', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb17.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-17.mp4
48, 'The blade is Valyrian steel', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb18.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-18.mp4
49, 'Love comes in at the eyes.', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb19.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-19.mp4
50, 'Ajjalan anha zalat', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb20.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-20.mp4
51, 'Look at that face.', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb21.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-21.mp4
52, 'What are you doing here?', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb22.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-22.mp4
53, 'Who took her?', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb23.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-23.mp4
54, 'Damn it children fight.', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb24.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-24.mp4
55, 'The wolf is of the north.', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb25.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-25.mp4
56, 'She deserves better', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb26.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-26.mp4
57, 'He ran...', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb27.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-27.mp4
